Sex,Age,Time_at_address,Res_status,Telephone,Occupation,Job_status,Time_employed,Time_bank,Liab_ref,Acc_ref,Home_Expn,Balance,Decision
M,50.75,0.584999979,owner,given,unemploye,unemploye,0,0,f,given,145,0,reject
M,19.67000008,10,rent,not_given,labourer,governmen,0,0,t,given,140,0,reject
F,52.83000183,15,owner,given,creative_,private_s,5,14,f,given,0,2200,accept
M,22.67000008,2.539999962,rent,not_given,creative_,governmen,2,0,f,given,0,0,accept
M,29.25,13,owner,given,driver,governmen,0,0,f,given,228,0,reject
F,16.07999992,0.335000008,owner,given,unemploye,unemploye,0,1,f,given,160,126,reject
M,23.17000008,11.125,owner,given,professio,governmen,0,1,f,given,100,0,accept
F,27.57999992,3,owner,given,manager,private_s,2,1,t,given,280,10,reject
F,19.17000008,5.414999962,owner,given,guard_etc,governmen,0,0,f,given,80,484,reject
F,27.25,0.289999992,owner,given,manager,governmen,0,1,t,given,272,108,reject
M,34.5,4.039999962,rent,not_given,guard_etc,self_empl,8,7,t,given,195,0,accept
M,20,1.25,rent,not_given,labourer,private_s,0,0,f,given,140,4,reject
M,34.41999817,1.335000038,owner,given,guard_etc,self_empl,0,0,t,given,440,4500,reject
M,41,0.039999999,owner,given,executive,private_s,0,1,f,oth_inst_,560,0,accept
F,24.75,3,owner,given,office_st,governmen,1,19,f,given,0,500,accept
F,38.25,6,owner,given,labourer,private_s,1,0,t,given,0,0,accept
M,28,2,owner,given,labourer,governmen,4,2,t,given,181,0,accept
F,27.67000008,2.039999962,owner,given,productio,private_s,0,0,t,given,180,50,reject
F,22.5,0.414999992,owner,given,guard_etc,private_s,0,0,t,oth_inst_,144,0,reject
F,22.42000008,5.664999962,owner,given,office_st,private_s,2,7,f,given,129,3257,accept
M,23.25,1.5,owner,given,office_st,private_s,2,3,t,given,0,582,accept
M,16.92000008,0.335000008,rent,not_given,labourer,private_s,0,0,f,oth_inst_,200,0,reject
M,29.92000008,1.835000038,owner,given,creative_,governmen,4,0,f,given,260,200,accept
M,27.82999992,1,rent,not_given,driver,governmen,3,0,f,given,176,537,reject
M,34.25,3,owner,given,semi_pro,governmen,7,0,t,given,0,0,accept
M,33,2.5,rent,not_given,productio,private_s,7,0,t,given,280,0,reject
